BASEPARTNUMBER,PLANTCODE,PROCESSLOCATION1,RCMID,PACKRANKNAME,PACKTYPECODE,CONTAINERQUANTITY,CONTAINERPERPALLET,PARTWEIGHT,TDPVERSION,PERPACKDUNNAGEPIECES,PACKLENGTH,PACKWIDTH,PACKHEIGHT,PACKEMPTYWEIGHT,CONTAINERSPERPALLET,QUANTITYPERCONTAINER,TOOLINGNUMBER,CELLDIMLENGTH,CELLDIMWIDTH,CELLDIMHEIGHT,OVERALLPACKLENGTH,OVERALLPACKWIDTH,OVERALLPACKHEIGHT,OVERALLPACKWEIGHT,PALLETWEIGHT,TRAILERSTACKING
39800TGV A000M1,MAP,16061006,C000000189,BR,C,15,4,NULL,1,2,23.62,22.18,13.68,12.3,4,15,NULL,19.5,17.5,3,45.0000,48.0000,45.5000,203.6000,56.0000,2
39800TGV A100M1,MAP,16061006,C000000189,BR,C,15,4,1.2600,1,2,23.62,22.18,13.68,12.3,4,15,NULL,19.5,17.5,3,45.0000,48.0000,45.5000,203.6000,56.0000,2
39800TGV C000M1,MAP,16061006,C000000189,BR,C,15,4,NULL,1,2,23.62,22.18,13.68,12.3,4,15,NULL,19.5,17.5,3,45.0000,48.0000,45.5000,203.6000,56.0000,2
39800TGV C100M1,MAP,16061006,C000000189,BR,C,15,4,1.2600,1,2,23.62,22.18,13.68,12.3,4,15,NULL,19.5,17.5,3,45.0000,48.0000,45.5000,203.6000,56.0000,2
39800TGV X000M1,MAP,16061006,C000000189,BR,C,15,4,1.1000,1,2,23.62,22.18,13.68,12.3,4,15,NULL,19.5,17.5,3,45.0000,48.0000,45.5000,203.6000,56.0000,2
39800TGV Y000M1,MAP,16061006,C000000189,BR,C,15,4,1.1000,1,2,23.62,22.18,13.68,12.3,4,15,NULL,19.5,17.5,3,45.0000,48.0000,45.5000,203.6000,56.0000,2
39800TLA A000M1,MAP,16061006,C000000010,BR,C,30,4,0.5600,1,3,23.62,22.18,13.68,12.3,4,30,NULL,19,17,3,45.0000,48.0000,45.5000,239.6000,56.0000,2
39800TLA A100M1,MAP,16061006,C000000010,BR,C,30,4,0.5600,1,3,23.62,22.18,13.68,12.3,4,30,NULL,19,17,3,45.0000,48.0000,45.5000,239.6000,56.0000,2
39800TVA A100M1,MAP,16061006,C000000090,BR,C,30,4,0.4600,1,3,23.62,22.18,13.68,12.3,4,30,NULL,23.62,22.18,13.68,45.0000,48.0000,45.5000,256.8800,56.0000,2
39800TVA A200M1,MAP,16061006,C000000090,BR,C,30,4,0.4300,1,3,23.62,22.18,13.68,12.3,4,30,NULL,23.62,22.18,13.68,45.0000,48.0000,45.5000,256.8800,56.0000,NULL
39800TVA D000M1,MAP,16061006,C000000090,BR,C,30,4,0.4600,1,3,23.62,22.18,13.68,12.3,4,30,NULL,23.62,22.18,13.68,45.0000,48.0000,45.5000,256.8800,56.0000,2
39800TVA D100M1,MAP,16061006,C000000090,BR,C,30,4,0.4300,1,3,23.62,22.18,13.68,12.3,4,30,NULL,23.62,22.18,13.68,45.0000,48.0000,45.5000,256.8800,56.0000,NULL
39800TVA M000M1,MAP,16061006,C000000090,BR,C,30,4,0.4600,1,3,23.62,22.18,13.68,12.3,4,30,NULL,23.62,22.18,13.68,45.0000,48.0000,45.5000,256.8800,56.0000,2
39800TVA M100M1,MAP,16061006,C000000090,BR,C,30,4,0.4300,1,3,23.62,22.18,13.68,12.3,4,30,NULL,23.62,22.18,13.68,45.0000,48.0000,45.5000,256.8800,56.0000,NULL
39800TVA Y100M1,MAP,16061006,C000000090,BR,C,30,4,0.4300,1,3,23.62,22.18,13.68,12.3,4,30,NULL,23.62,22.18,13.68,45.0000,48.0000,45.5000,256.8800,56.0000,NULL
39800TX6 A800M1,MAP,01162005,C200000147,BR,C2,10,24,0.9000,1,1,23.62,22.18,7.25,9.6,24,10,NULL,24,22,7,45.0000,48.0000,46.0000,334.4000,56.0000,2
